labels(n),n,keys(n)
"[""BoxyShape""]","{""hasBoxyShape_Width"":""\""0.110000\"""",""hasBoxyShape_Length"":""\""0.220000\"""",""hasBoxyShape_Height"":""\""0.020000\"""",""hasBoxyShape_HasTop"":""\""false\"""",""name"":""shape_large_gear_parts_tray"",""type"":""individual"",""hasShapeDesign_Description"":""\""Shape of PartsTrays for large gears\""""}","[""hasBoxyShape_Length"",""hasBoxyShape_Height"",""hasBoxyShape_HasTop"",""type"",""hasBoxyShape_Width"",""name"",""hasShapeDesign_Description""]"
"[""BoxyShape""]","{""hasBoxyShape_Width"":""\""0.162000\"""",""hasBoxyShape_Length"":""\""0.188500\"""",""hasBoxyShape_Height"":""\""0.017000\"""",""hasBoxyShape_HasTop"":""\""false\"""",""name"":""shape_kit_tray_m2l1"",""type"":""individual"",""hasShapeDesign_Description"":""\""Shape of KitTrays that hold 2 medium and 1 large gears\""""}","[""hasBoxyShape_Length"",""hasBoxyShape_Height"",""hasBoxyShape_HasTop"",""type"",""hasBoxyShape_Width"",""name"",""hasShapeDesign_Description""]"
"[""BoxyShape""]","{""hasBoxyShape_Width"":""\""0.800000\"""",""hasBoxyShape_Length"":""\""1.600000\"""",""hasBoxyShape_HasTop"":""\""true\"""",""hasBoxyShape_Height"":""\""0.500000\"""",""name"":""shape_fanuc_cart"",""type"":""individual"",""hasShapeDesign_Description"":""\""Shape of the Fanuc cart\""""}","[""hasBoxyShape_HasTop"",""hasBoxyShape_Length"",""hasShapeDesign_Description"",""hasBoxyShape_Width"",""hasBoxyShape_Height"",""name"",""type""]"
"[""Class""]","{""name"":""GripperOther""}","[""name""]"
"[""Class""]","{""name"":""PartsTrayDesign""}","[""name""]"
"[""Class""]","{""name"":""PartRefAndPose""}","[""name""]"
"[""Pose""]","{""name"":""pose_part_medium_gear_vessel_mg_3"",""type"":""individual""}","[""type"",""name""]"
"[""StockKeepingUnit""]","{""hasStockKeepingUnit_Description"":""\""SKU for Part small gear\"""",""name"":""sku_part_medium_gear"",""type"":""individual"",""hasStockKeepingUnit_Weight"":""\""0.180000\""""}","[""hasStockKeepingUnit_Description"",""type"",""hasStockKeepingUnit_Weight"",""name""]"
"[""Pose""]","{""name"":""pose_part_medium_gear_vessel_mg_2"",""type"":""individual""}","[""type"",""name""]"
"[""Pose""]","{""name"":""pose_part_medium_gear_vessel_mg_4"",""type"":""individual""}","[""type"",""name""]"
